timeframe,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
6.4,C:7,C:7,G:min6,C:7,C:7,C:7,Eb:maj,C:7,C:7,C:7,F:maj,Eb:maj,B:maj,G:min,G:min6,C:maj,C:7,C:maj,C:maj,C:maj,NA:,C:maj,NA:,C:maj,C:7,NA:,NA:,G:min6,C:7,C:7,NA:,NA:,C:maj,C:maj,C:maj,NA:,G:maj
6.5,C:7,C:7,G:min6,C:7,C:7,C:7,Eb:maj,C:7,C:7,C:7,F:maj,Eb:maj,C:maj,G:min,G:min6,C:maj,C:7,C:maj,C:maj,C:maj,NA:,C:maj,NA:,C:maj,C:7,NA:,NA:,G:min6,NA:,C:7,NA:,NA:,C:maj,C:maj,C:maj,NA:,G:maj
6.6,C:7,C:7,G:min6,C:7,C:7,C:7,Eb:maj,C:7,C:7,C:7,F:maj,Eb:maj,B:maj,G:min,G:min6,C:maj,C:7,C:maj,C:maj,C:maj,NA:,C:maj,NA:,C:maj,C:7,NA:,NA:,G:min6,NA:,C:7,NA:,NA:,C:maj,C:maj,C:maj,NA:,G:maj
6.7,C:7,C:7,G:min6,C:7,C:7,C:7,Eb:maj,C:7,C:7,C:7,F:maj,Eb:maj,B:maj,G:min,G:min6,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,C:7,NA:,NA:,G:min6,NA:,C:7,NA:,NA:,C:maj,C:maj,C:maj,NA:,G:maj
6.8,C:7,C:7,G:min6,C:7,C:7,C:7,Eb:maj,C:7,C:7,C:7,Eb:maj,Eb:maj,C:maj,G:min,G:min6,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,C:7,NA:,NA:,G:min6,NA:,NA:,NA:,NA:,C:maj,C:maj,C:maj,NA:,G:maj
6.9,C:7,C:7,G:min6,C:7,C:7,C:7,Eb:maj,C:7,C:7,C:7,Eb:maj,Eb:maj,C:maj,G:min,G:min6,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,C:7,NA:,NA:,G:min6,NA:,NA:,NA:,NA:,C:maj,C:maj,C:maj,NA:,G:maj
7.0,C:7,C:7,G:min6,C:7,C:7,C:7,Eb:maj,C:7,C:7,C:7,Eb:maj,F:maj,C:maj,Eb:maj,G:min6,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,G:min6,NA:,NA:,NA:,NA:,C:maj,C:maj,C:maj,NA:,G:maj
7.1,C:7,C:7,G:min6,C:7,C:7,C:7,Eb:maj,C:7,C:7,C:7,Eb:maj,F:maj,C:maj,Eb:maj,G:min6,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,G:min6,NA:,NA:,NA:,NA:,C:maj,C:maj,C:maj,NA:,G:maj
7.2,C:7,C:7,G:min6,C:7,C:7,C:7,Eb:maj,Eb:maj7,C:7,C:7,Eb:maj,F:maj,C:maj,Eb:maj,G:min6,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,G:min6,NA:,NA:,NA:,NA:,C:maj,C:maj,C:maj,NA:,G:maj
7.3,C:7,C:7,G:min6,C:7,C:7,C:7,Eb:maj,Eb:maj7,C:7,C:7,Eb:maj,F:maj,C:maj,Eb:maj,G:min6,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,G:min6,NA:,NA:,NA:,NA:,C:maj,C:maj,C:maj,NA:,G:maj
